"name","mz","ionmode"
"FA 8:1",143.10666,"pos"
"FA 8:1;O",159.10157,"pos"
"FA 8:2",141.09101,"pos"
"FA 8:2;O",157.08592,"pos"
"FA 9:0",159.13796,"pos"
"FA 9:0;O",175.13287,"pos"
"FA 9:1",157.12231,"pos"
"FA 9:1;O",173.11722,"pos"
"FA 9:2",155.10666,"pos"
"FA 9:2;O",171.10157,"pos"
"FA 9:3",153.09101,"pos"
"FA 9:3;O",169.08592,"pos"
"SPB 10:0;2O",190.18016,"pos"
"SPB 10:0;3O",206.17507,"pos"
"SPB 10:1;2O",188.16451,"pos"
"SPB 10:1;3O",204.15942,"pos"
"SPB 10:2;2O",186.14886,"pos"
"SPB 10:2;3O",202.14377,"pos"
"SPB 10:3;2O",184.13321,"pos"
"SPB 10:3;3O",200.12812,"pos"
"SPB 11:0;2O",204.19581,"pos"
"SPB 11:0;3O",220.19072,"pos"
"SPB 11:1;2O",202.18016,"pos"
"SPB 11:1;3O",218.17507,"pos"
"SPB 11:2;2O",200.16451,"pos"
"SPB 11:2;3O",216.15942,"pos"
"SPB 11:3;2O",198.14886,"pos"
"SPB 11:3;3O",214.14377,"pos"
"SPB 12:0;2O",218.21146,"pos"
"SPB 12:0;3O",234.20637,"pos"
"SPB 12:1;2O",216.19581,"pos"
"SPB 12:1;3O",232.19072,"pos"
"SPB 12:2;2O",214.18016,"pos"
"SPB 12:2;3O",230.17507,"pos"
"SPB 12:3;2O",212.16451,"pos"
"SPB 12:3;3O",228.15942,"pos"
"SPB 13:0;2O",232.22711,"pos"
"SPB 13:0;3O",248.22202,"pos"
"SPB 13:1;2O",230.21146,"pos"
"SPB 13:1;3O",246.20637,"pos"
"SPB 13:2;2O",228.19581,"pos"
"SPB 13:2;3O",244.19072,"pos"
"SPB 13:3;2O",226.18016,"pos"
"SPB 13:3;3O",242.17507,"pos"
"SPB 14:0;2O",246.24276,"pos"
"SPB 14:0;3O",262.23767,"pos"
"SPB 14:1;2O",244.22711,"pos"
"SPB 14:1;3O",260.22202,"pos"
"SPB 14:2;2O",242.21146,"pos"
"SPB 14:2;3O",258.20637,"pos"
"SPB 14:3;2O",240.19581,"pos"
"SPB 14:3;3O",256.19072,"pos"
"SPB 15:0;2O",260.25841,"pos"
"SPB 15:0;3O",276.25332,"pos"
"SPB 15:1;2O",258.24276,"pos"
"SPB 15:1;3O",274.23767,"pos"
"SPB 15:2;2O",256.22711,"pos"
"SPB 15:2;3O",272.22202,"pos"
"SPB 15:3;2O",254.21146,"pos"
"SPB 15:3;3O",270.20637,"pos"
"SPB 16:0;2O",274.27406,"pos"
"SPB 16:0;3O",290.26897,"pos"
"SPB 16:1;2O",272.25841,"pos"
"SPB 16:1;3O",288.25332,"pos"
"SPB 16:2;2O",270.24276,"pos"
"SPB 16:2;3O",286.23767,"pos"
"SPB 16:3;2O",268.22711,"pos"
"SPB 16:3;3O",284.22202,"pos"
"SPB 17:0;2O",288.28971,"pos"
"SPB 17:0;3O",304.28462,"pos"
"SPB 17:1;2O",286.27406,"pos"
"SPB 17:1;3O",302.26897,"pos"
"SPB 17:2;2O",284.25841,"pos"
"SPB 17:2;3O",300.25332,"pos"
"SPB 17:3;2O",282.24276,"pos"
"SPB 17:3;3O",298.23767,"pos"
"SPB 18:0;2O",302.30536,"pos"
"SPB 18:0;3O",318.30027,"pos"
"SPB 18:1;2O",300.28971,"pos"
"SPB 18:1;3O",316.28462,"pos"
"SPB 18:2;2O",298.27406,"pos"
"SPB 18:2;3O",314.26897,"pos"
"SPB 18:3;2O",296.25841,"pos"
"SPB 18:3;3O",312.25332,"pos"
"SPB 19:0;2O",316.32101,"pos"
"SPB 19:0;3O",332.31592,"pos"
"SPB 19:1;2O",314.30536,"pos"
"SPB 19:1;3O",330.30027,"pos"
"SPB 19:2;2O",312.28971,"pos"
"SPB 19:2;3O",328.28462,"pos"
