"peak.num","subclass","Title","Compound","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score"
1998,"PMeOH","PMeOH 50:13","PMeOH 20:3_30:10",887.56,6.92084,"[M-H]-",0.75,0.0408226225,0.5,0.5,1.7908226225
1998,"PMeOH","PMeOH 50:13","PMeOH 20:4_30:9",887.56,6.92084,"[M-H]-",0.75,0.03239225375,0.5,0.5,1.78239225375
247,"FA","FA 11:3","FA 11:3",179.107,1.39894,"[M-H]-",1,0.187961,0.200105858631714,0.5,1.88806685863171
1715,"PE","PE 48:14","PE 20:3_28:11",886.542,6.08718,"[M-H]-",0.75,0.02360215,0.5,0.5,1.77360215
1715,"MMPE","MMPE 47:14","MMPE 22:6_25:8",886.542,6.08718,"[M-H]-",0.75,0.011812885,0.5,0.5,1.761812885
1715,"MMPE","MMPE 47:14","MMPE 20:3_27:11",886.542,6.08718,"[M-H]-",0.75,0.012416315,0.5,0.5,1.762416315
1715,"DMPE","DMPE 46:14","DMPE 22:6_24:8",886.542,6.08718,"[M-H]-",0.75,0.02255416,0.5,0.5,1.77255416
1715,"DMPE","DMPE 46:14","DMPE 20:3_26:11",886.542,6.08718,"[M-H]-",0.75,0.02315759,0.5,0.5,1.77315759
1715,"DMPE","DMPE 46:14","DMPE 18:3_28:11",886.542,6.08718,"[M-H]-",0.75,0.022340715,0.5,0.5,1.772340715
1715,"DMPE","DMPE 46:14","DMPE 18:2_28:12",886.542,6.08718,"[M-H]-",0.75,0.0217808475,0.5,0.5,1.7717808475
1715,"DMPE","DMPE 46:14","DMPE 18:1_28:13",886.542,6.08718,"[M-H]-",0.75,0.024659875,0.5,0.5,1.774659875
1715,"DMPE","DMPE 46:14","DMPE 18:0_28:14",886.542,6.08718,"[M-H]-",0.75,0.021620165,0.5,0.5,1.771620165
1715,"PE","PE 48:14","PE 22:6_26:8",886.542,6.08718,"[M-H]-",0.75,0.022191185,0.5,0.5,1.772191185
1715,"SL","SL 57:19","SL 29:8;O/28:11",886.542,6.08718,"[M-H]-",0.75,0.014271998,0.5,0.5,1.764271998
1613,"MMPE","MMPE 47:14","MMPE 20:4_27:10",886.541,5.77809,"[M-H]-",0.75,0.010967825,0.5,0.5,1.760967825
1613,"DMPE","DMPE 46:14","DMPE 20:4_26:10",886.541,5.77809,"[M-H]-",0.75,0.02082705,0.5,0.5,1.77082705
1613,"PE","PE 48:14","PE 20:4_28:10",886.541,5.77809,"[M-H]-",0.75,0.02082705,0.5,0.5,1.77082705
1613,"SL","SL 57:19","SL 32:13;O/25:6",886.541,5.77809,"[M-H]-",0.75,0.0102938645,0.5,0.5,1.7602938645
1806,"PI","PI 38:4","PI 16:0_22:4",885.549,6.36804,"[M-H]-",1,0.03919821,0.860198983006592,0.860981095648303,2.76037828865489
1873,"PI","PI 38:4","PI 18:0_20:4",885.549,6.55497,"[M-H]-",1,0.0433038075,0.87464061999377,0.873855020226339,2.79179944772011
1873,"PI","PI 38:4","PI 18:1_20:3",885.549,6.55497,"[M-H]-",1,0.0263860925,0.874609631766461,0.87464061999377,2.77563634426023
2047,"PA","PA 51:14","PA 22:3_29:11",885.548,7.06457,"[M-H]-",0.75,0.036092514,0.5,0.5,1.786092514
2047,"PEtOH","PEtOH 49:14","PEtOH 20:3_29:11",885.548,7.06457,"[M-H]-",0.75,0.033581064,0.874725588355897,0.874725588355897,2.53303224071179
2047,"PEtOH","PEtOH 49:14","PEtOH 20:4_29:10",885.548,7.06457,"[M-H]-",0.75,0.0404382375,0.874725588355897,0.874725588355897,2.53988941421179
2047,"PMeOH","PMeOH 50:14","PMeOH 21:3_29:11",885.548,7.06457,"[M-H]-",0.75,0.033581064,0.5,0.5,1.783581064
2047,"PMeOH","PMeOH 50:14","PMeOH 20:4_30:10",885.548,7.06457,"[M-H]-",0.75,0.0404382375,0.5,0.5,1.7904382375
1763,"PA","PA 51:14","PA 22:6_29:8",885.548,6.22918,"[M-H]-",0.5,0.0016495175,0.5,0.5,1.5016495175
